Country,Occurrences
United States of America,1087
China,980
India,752
Philippines,668
Indonesia,572
Japan,375
Bangladesh,356
Mexico,293
Iran,252
Brazil,251
Australia,247
Viet Nam,247
Pakistan,233
Colombia,206
Afghanistan,205
Turkey,205
Peru,202
France,183
Russian Federation,173
Italy,173
Thailand,157
Canada,144
Democratic Republic of the Congo,140
Hong Kong,137
Nigeria,137
Haiti,131
Nepal,131
Taiwan,131
Argentina,125
Korea,124
Guatemala,122
Kenya,122
Ethiopia,121
Sri Lanka,119
Chile,118
Mozambique,117
"Tanzania, United Republic of",114
South Africa,110
Ecuador,107
Uganda,104
Greece,104
Spain,103
Sudan,103
Bolivia,102
Somalia,101
Romania,101
Niger,101
United Kingdom of Great Britain and Northern Ireland,98
Malaysia,97
Honduras,92
Madagascar,90
Papua New Guinea,89
Algeria,89
Cuba,86
Nicaragua,85
Myanmar,84
Dominican Republic,83
Germany,82
New Zealand,79
Tajikistan,76
Costa Rica,75
Angola,74
Belgium,73
El Salvador,72
Malawi,72
Burkina Faso,65
Chad,64
Morocco,62
Fiji,62
Mali,62
Panama,62
Burundi,62
Switzerland,61
Venezuela,60
Soviet Union,60
Paraguay,59
Poland,59
Jamaica,56
Yemen,55
Lao People's Democratic Republic,54
Ghana,54
Senegal,54
Cameroon,54
Austria,53
Benin,52
Rwanda,52
Portugal,51
Zimbabwe,51
Vanuatu,50
Bulgaria,50
Zambia,50
Mauritania,47
Korea,47
Albania,44
Central African Republic,44
Cambodia,42
Netherlands,40
Ukraine,39
Mongolia,39
Solomon Islands,39
Guinea,38
Puerto Rico,37
Egypt,36
Gambia,34
Uruguay,34
Congo,34
Hungary,34
Namibia,32
Sierra Leone,32
Kyrgyzstan,31
Côte d’Ivoire,30
Croatia,30
Togo,29
Saudi Arabia,29
Czech Republic,29
Bahamas,28
Iraq,27
Serbia,27
Kazakhstan,26
Bosnia and Herzegovina,26
Djibouti,26
Tunisia,25
Comoros,25
Ireland,25
South Sudan,25
Guinea-Bissau,25
Lesotho,25
Georgia,25
Macedonia,24
Tonga,24
Liberia,24
Saint Vincent and the Grenadines,24
Slovakia,23
Mauritius,23
Botswana,23
Belize,22
Yugoslavia,22
Cabo Verde,21
Saint Lucia,21
Israel,20
Germany Fed Rep,20
New Caledonia,18
Swaziland,18
Martinique,18
Jordan,18
Guadeloupe,17
Serbia Montenegro,16
Azerbaijan,16
Moldova,16
Denmark,16
Samoa,16
Syrian Arab Republic,16
Sweden,16
Oman,16
Dominica,15
Cyprus,15
Lebanon,14
Lithuania,14
Anguilla,14
Belarus,14
Trinidad and Tobago,14
Cook Islands,14
Réunion,14
Gabon,13
Antigua and Barbuda,13
Barbados,13
Iceland,13
Luxembourg,13
Norway,13
Timor-Leste,13
Bhutan,12
Guyana,12
Armenia,12
Micronesia,11
Slovenia,10
Guam,10
Saint Kitts and Nevis,10
Uzbekistan,9
Yemen Arab Rep,9
Tuvalu,9
Latvia,9
Czechoslovakia,9
"Palestine, State of",9
Maldives,8
Montserrat,8
Canary Is,8
French Polynesia,8
Eritrea,8
Virgin Island,8
Cayman Islands,7
Seychelles,7
Grenada,7
Macao,7
Marshall Islands,7
Turks and Caicos Islands,7
Yemen P Dem Rep,7
Montenegro,6
Kiribati,6
American Samoa,6
Azores Islands,6
Niue,6
Bermuda,6
Tokelau,6
Northern Mariana Islands,5
Libya,5
Wallis and Futuna,5
Palau,5
Estonia,4
Virgin Island,4
Netherlands Antilles,4
Singapore,4
Suriname,4
Sao Tome and Principe,4
Kuwait,3
Germany Dem Rep,3
French Guiana,3
Finland,3
Turkmenistan,2
Equatorial Guinea,1
"Saint Helena, Ascension and Tristan da Cunha",1
Bahrain,1
Brunei Darussalam,1
United Arab Emirates,1
Qatar,1
Saint Barthélemy,1
Saint Martin,1
Sint Maarten,1
Isle of Man,1
