Year,Disaster_Type,Total_Damages_US_DOLLAR
1970,Storm,72475.0
1971,Flood,20000.0
1971,Storm,119219.0
1973,Flood,71000.0
1974,Storm,800000.0
1974,Storm,296717.0
1974,Flood,5972.0
1975,Storm,63861.0
1975,Flood,54684.0
1976,Storm,13037.0
1976,Storm,7279.0
1976,Storm,4237.0
1976,Storm,8257.0
1976,Storm,36177.0
1976,Storm,38024.0
1977,Storm,38680.0
1977,Wildfire,22592.0
1977,Wildfire,2168.0
1977,Storm,10269.0
1977,Flood,17686.0
1978,Storm,1000000.0
1978,Flood,17258.0
1978,Flood,3452.0
1978,Storm,3797.0
1978,Storm,35090.0
1978,Storm,11620.0
1978,Storm,16107.0
1979,Storm,18683.0
1979,Storm,31286.0
1979,Wildfire,4090.0
1980,Storm,6966.0
1980,Storm,40026.0
1980,Storm,4605.0
1980,Storm,13932.0
1980,Wildfire,25975.0
1980,Storm,29399.0
1981,Storm,7895.0
1981,Flood,11279.0
1981,Drought,6000000.0
1981,Flood,150000.0
1981,Flood,38236.0
1982,Storm,12454.0
1982,Storm,11767.0
1982,Storm,6864.0
1983,Wildfire,400000.0
1983,Storm,1984.0
1983,Storm,2255.0
1983,Storm,5773.0
1984,Flood,3000.0
1985,Storm,122000.0
1985,Storm,7255.0
1985,Wildfire,15000.0
1985,Wildfire,18169.0
1985,Flood,5778.0
1986,Storm,5778.0
1986,Storm,70000.0
1986,Storm,51000.0
1986,Storm,68055.0
1986,Storm,6806.0
1986,Flood,64200.0
1988,Storm,20417.0
1988,Flood,68055.0
1989,Earthquake,1000000.0
1989,Storm,94300.0
1989,Storm,13611.0
1990,Storm,389100.0
1990,Flood,78200.0
1990,Flood,195500.0
1990,Storm,155600.0
1991,Drought,473000.0
1991,Storm,1560.0
1992,Storm,103100.0
1992,Storm,274900.0
1992,Drought,1500000.0
1993,Flood,4600.0
1994,Wildfire,150000.0
1994,Storm,77600.0
1995,Storm,18700.0
1995,Storm,98000.0
1995,Storm,84000.0
1995,Storm,28000.0
1996,Storm,140000.0
1996,Flood,131000.0
1996,Flood,205300.0
1996,Storm,46700.0
1996,Storm,47000.0
1996,Storm,9333.0
1996,Storm,39200.0
1996,Storm,317300.0
1997,Wildfire,6700.0
1998,Flood,61300.0
1998,Flood,100000.0
1998,Flood,100000.0
1998,Flood,122700.0
1999,Storm,1500000.0
1999,Storm,300000.0
1999,Storm,200000.0
1999,Storm,196300.0
2000,Storm,90000.0
2000,Flood,265000.0
2000,Storm,60000.0
2000,Insect infestation,120000.0
2001,Flood,12000.0
2001,Storm,6600.0
2001,Flood,13000.0
2001,Flood,200000.0
2001,Wildfire,90000.0
2002,Drought,2000000.0
2002,Wildfire,50000.0
2003,Flood,2000.0
2003,Wildfire,300000.0
2003,Storm,93000.0
2003,Flood,75000.0
2004,Storm,50000.0
2004,Storm,10000.0
2004,Flood,32000.0
2004,Flood,5500.0
2004,Flood,15000.0
2005,Wildfire,40000.0
2005,Storm,27000.0
2005,Flood,58000.0
2005,Storm,15000.0
2006,Storm,2354.0
2006,Storm,1180000.0
2006,Wildfire,50000.0
2006,Wildfire,50000.0
2007,Flood,1300000.0
2007,Storm,100000.0
2008,Storm,450000.0
2008,Flood,275000.0
2008,Flood,90000.0
2008,Flood,600000.0
2008,Flood,1100000.0
2009,Wildfire,1300000.0
2009,Storm,60000.0
2009,Flood,150000.0
2010,Storm,1330000.0
2010,Storm,1390000.0
2010,Flood,109000.0
2010,Flood,7300000.0
2011,Storm,2500000.0
2011,Wildfire,54000.0
2012,Flood,225000.0
2012,Flood,363000.0
2013,Storm,2000000.0
2013,Wildfire,98000.0
2013,Wildfire,268000.0
2014,Wildfire,25000.0
2014,Wildfire,100000.0
2014,Storm,1000000.0
2015,Storm,1300000.0
2015,Flood,400000.0
2015,Storm,78000.0
2015,Storm,546000.0
2015,Storm,57000.0
2015,Wildfire,100000.0
2015,Wildfire,51000.0
2015,Wildfire,200000.0
2016,Storm,500000.0
2016,Wildfire,110000.0
2016,Flood,25000.0
2017,Wildfire,20000.0
2017,Storm,2700000.0
2017,Storm,490000.0
2018,Drought,1200000.0
2018,Flood,11400.0
2019,Flood,2000000.0
2019,Wildfire,2000000.0
2020,Storm,1500000.0
2020,Flood,1200000.0
2020,Storm,1200000.0
2021,Storm,155000.0
2021,Storm,356000.0
2021,Wildfire,120000.0
2021,Flood,2100000.0
