Year,Location
1939,Victoria New South Wales
1944,Western District Victoria
1955,
1967,Hobart (Tasmania)
1967,South-East
1968,"Perth, Meckering, Northam, Cunderdin"
1968,New South Wales
1970,Queensland
1971,"South Wales, Queensland, Victoria"
1971,Townsville area (Queensland)
1973,"Queensland, New South Wales"
1974,Darwin
1974,Brisbane (Queensland)
1974,Central New South Wales
1974,Brisbane
1975,Western
1975,Kangaroo Isl.
1975,Mildura region
1975,Sydney
1976,"Too-Woomba, Queensland"
1976," Sandon, Castlemaine, Mortlake (Victoria)"
1976,Queensland
1976,Bundaberg Qld
1976,Queensland
1976,"Victoria, South Australia, Southern Inland New South Wales"
1976,Southwest of Western Australia
1976,Queanreyan
1976,Sydney
1977,New South Wales
1977,Western district
1977,"Blue Mountains, New South Wales"
1977,"Tongala, Echuca Victoria"
1977,New South Wales
1978,Western
1978,"Southern Queensland, New South Wales, Victoria, Northeast Tasmania"
1978,"Sydney, Penrith (New South Wale)"
1978,Eastern parts of Victoria
1978,"South Australia, Victoria Harbour, Tasmania"
1978,"Sydney, Newcastle, Wollongong (New South Wales)"
1978,"North Coast, New South Wales"
1978,Sydney (New South Wales)
1979,
1979,Western Australia
1979,"Act, Gouldburn,Yass, Mittagong, New South Wales"
1980,New South Wales Coast
1980,Pilbara
1980,Pilbara
1980,"Brisbane, Queensland"
1980, Adelaide Hills (South)
1980,"Brighton, Queensland"
1981,"Queensland, New South Wales, South Australia, West Australia"
1981,Queensland
1981,"Queensland, New South Wales, Victoria States"
1981,Victoria
1981,Dalby
1982,"Victoria, Melbourne"
1982,Southern Queensland
1982,North Queensland
1983,"South Australia, Victoria"
1983,Queensland
1983,South
1983,"Perth, Bunbury"
1984,Sydney area
1985,"Brisbane, Queensland"
1985,"Melbourne, Victoria"
1985,Southeastern
1985,New South Wales
1985,"Hobart, Tasmania, Melbourne, East Victoria"
1986,"Orange, New South Wales"
1986,North Queensland
1986,"Sydney, New South Wales"
1986,"Sydney, New South Wales"
1986,Adelaid
1986,"Central, South"
1988,Alice Springs
1988, Queensland
1988,"South Queensland, North New South Wales"
1988,
1989,Newcastle
1989,"South New Gales, Queensland"
1989,
1989,"South Queensland, North New South Wales"
1990,Syndey
1990,"Queensland Coast, Rockhampton"
1990,From South Queensland to Central New South Wales
1990,Queensland
1990,"South New South Wales, North Victoria"
1991,"Sydney, New South Wales"
1991,"Western, South"
1991,
1992,Sydney region
1992,Victoria
1992,Queensland
1993,Manduarh
1993,Victoria and New South Wales states
1993,South-east Australia
1993,"Melbourne, Shepparton"
1994,Nouvelle Galle du Sud
1994,Sydney
1994,"Narrogin, Albany, Katanning, Geraldton, Dongara, Moora Perth"
1994,"Cessnock, Hunter Valley"
1994,
1994,Townsville
1994,Southern NSW
1994,New South Wales & Queenland
1994,"Victoria, South Wales"
1995,"Merimbula, Pambula"
1995,Onslow
1995,Western Sydney
1995,"South East & Brisbane, Granite Belt Region"
1995,"Maitland, Metford, Thornton, Tarree (Hunter Valley & Mid-North Coast)"
1996,Singleton district
1996,Coffs Harbour
1996,"Brisbane (South Queensland), Grafton (Northern New South Wales)"
1996,
1996,Sydney
1996,Gracetown
1996,"Dubbo, Young, Bathurst & Southern Sydney"
1996,Sydney
1996,Armidale
1997,Queensland State
1997,North West
1997," From Tare To Bega, Coonabaraban"
1997,Thredbo
1998,Towsville Area
1998,Katherine
1998,Victoria State
1998,"Queensland, Burketown"
1998,Narrabri
1998,Wollongong (New South Wales)
1999,Sydney
1999,Queensland State
1999,Exmouth
1999,"Victoria, South Australia"
1999,"Whim Creek, Roeburne"
2000,"Cairns, Tablelands districts (Queensland province), New South Wales province"
2000,"Bingara, Yallaroi villages (Gwydir district, New South Wales province), Coonebarabran village (Warrumbungle Shire district, New South Wales province), Berrigan, Corowa Shire, Deniliquin, Murray districts (New South Wales province)"
2000,Townsville district (Queensland province)
2000,"Bidyadanga area (Broome district, Western Australia province)"
2000,"Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts (New South Wales province)"
2000,"South Australia, New South Wales, Queensland"
2001,"Granville, Wenworthville villages (Parramatta district, New South Wales province), Merrylands village (Holroyd district, New South Wales province), Dural village (Hornsby district, New South Wales province), North Richmond village (Hawkesbury district, New South Wales province)"
2001,Sydney district (New South Wales province)
